"Kod";"Nazwa";"1 kwartał;ogółem;ogółem;2017;[szt.]";"1 kwartał;ogółem;ogółem;2018;[szt.]";"1 kwartał;ogółem;ogółem;2019;[szt.]";"1 kwartał;ogółem;ogółem;2020;[szt.]";"1 kwartał;ogółem;ogółem;2021;[szt.]";"2 kwartał;ogółem;ogółem;2017;[szt.]";"2 kwartał;ogółem;ogółem;2018;[szt.]";"2 kwartał;ogółem;ogółem;2019;[szt.]";"2 kwartał;ogółem;ogółem;2020;[szt.]";"2 kwartał;ogółem;ogółem;2021;[szt.]";"3 kwartał;ogółem;ogółem;2017;[szt.]";"3 kwartał;ogółem;ogółem;2018;[szt.]";"3 kwartał;ogółem;ogółem;2019;[szt.]";"3 kwartał;ogółem;ogółem;2020;[szt.]";"3 kwartał;ogółem;ogółem;2021;[szt.]";"4 kwartał;ogółem;ogółem;2017;[szt.]";"4 kwartał;ogółem;ogółem;2018;[szt.]";"4 kwartał;ogółem;ogółem;2019;[szt.]";"4 kwartał;ogółem;ogółem;2020;[szt.]";"4 kwartał;ogółem;ogółem;2021;[szt.]";
0200000;"DOLNOŚLĄSKIE";6852;7244;6749;7549;7876;7211;7100;8367;5019;8865;6446;6580;6986;4971;8078;5135;6430;5371;4149;10003;
0400000;"KUJAWSKO-POMORSKIE";2394;2667;2588;2433;2622;2195;2382;2500;1734;3110;2320;2533;2339;2390;2654;1933;2361;2289;2194;2607;
0600000;"LUBELSKIE";1668;2173;1940;1799;2260;1472;1965;2110;1728;2185;1492;1503;1826;2060;2175;1362;1571;1643;2379;2274;
0800000;"LUBUSKIE";1504;1839;1916;1856;2021;1430;1749;1858;1587;1956;1489;1826;1833;1924;1783;1300;1736;1274;1461;1657;
1000000;"ŁÓDZKIE";2459;2758;2756;3243;4086;2141;3078;3245;2730;4140;2587;2647;3030;3350;3391;2171;2871;2677;2982;2916;
1200000;"MAŁOPOLSKIE";4912;4693;5003;4353;5400;4344;4074;5096;4084;6294;3498;4128;4699;4410;5100;1740;3128;3016;3907;4889;
1400000;"MAZOWIECKIE";10119;9190;7990;10544;11576;10122;8592;9136;9980;12416;9531;9155;10396;9618;9494;5101;8146;9501;8213;6812;
1600000;"OPOLSKIE";975;1119;1126;1490;1244;921;993;1081;1045;1308;838;1084;1070;1302;1210;846;899;823;783;917;
1800000;"PODKARPACKIE";1100;993;1611;1607;1991;729;1197;1471;1115;1796;857;1647;1720;2006;1869;938;1522;2329;1749;2225;
2000000;"PODLASKIE";1401;1471;1372;1435;1402;1051;1197;1304;1292;2089;1095;1165;1520;1494;1774;1253;1320;1635;1551;1997;
2200000;"POMORSKIE";5266;5990;5328;5568;6811;5315;5705;6211;4898;7543;5074;5173;5917;5870;6254;4768;6504;5768;5990;6235;
2400000;"ŚLĄSKIE";4790;4970;4494;5160;5973;4639;4546;5250;3840;5936;4258;4488;5221;5713;5733;3831;5054;4356;4685;5681;
2600000;"ŚWIĘTOKRZYSKIE";592;749;648;952;830;609;679;874;572;1265;518;684;887;1098;865;501;618;430;542;658;
2800000;"WARMIŃSKO-MAZURSKIE";2245;2084;2339;2600;2528;2139;2423;2266;2255;2727;2134;2231;2682;2419;2601;2166;2756;2572;2284;2810;
3000000;"WIELKOPOLSKIE";4226;5403;4942;5257;6107;4021;4869;4433;4858;5369;3577;4535;3739;3911;5011;3228;4236;2580;2943;3400;
3200000;"ZACHODNIOPOMORSKIE";2824;3030;2872;2013;2487;2617;3044;3811;1377;2919;2742;2957;3193;1934;2460;2320;3190;1221;1636;1867;
